job_family,career_track,role_name,level,role_description,this_names_can_map_here,count
Product & Business,Business Analysis,Senior Business Analyst,L6,Senior business analysis leadership defining enterprise requirements practices and strategic analysis programs,,0
Product & Business,Product Management,Product Owner (Senior),L4,"Manages product backlog, defines user stories, sets sprint priorities, maximizes value delivery in agile teams","Product Manager-EMEA, Product Owner, Senior Product Manager-Americas",20
Product & Business,Product Management,Product Manager (Master),L5,"Defines product strategy and roadmap, prioritizes features, drives product delivery and stakeholder alignment","Product Design Manager, Product Development Manager, Product Director-Americas, Product Director-EMEA, Product Manager",36
Product & Business,Product Management,Product Director (Expert),L6,"Provides executive product leadership, defines product vision and portfolio strategy across multiple products","Product Development Manager, Senior Product Director - Americas",2
Technology & Development,Backend Development,Backend Developer (Junior),L2,"Develops basic APIs and CRUD operations, learns server-side programming fundamentals and data persistence",,0
Technology & Development,Backend Development,Backend Developer (Mid),L3,"Develops microservices and complex APIs, implements data persistence layers, ensures backend quality",,0
Technology & Development,Backend Development,Backend Developer (Senior),L4,"Architects backend systems, provides technical leadership, mentors development team, establishes coding standards",,0
Technology & Development,Backend Development,Backend Developer (Master),L5,"Defines backend architecture strategy, establishes development standards, drives backend platform innovation",,0
Technology & Development,Cloud & Infrastructure,DevOps Specialist (Junior),L2,"Implements basic CI/CD pipelines and automation scripts, learns DevOps tools and infrastructure as code",DevOps,1
Technology & Development,Cloud & Infrastructure,DevOps Specialist (Mid),L3,"Implements infrastructure as code, develops automation solutions, manages CI/CD pipelines and deployments",DevOps,12
Technology & Development,Cloud & Infrastructure,DevOps Specialist (Senior),L4,"Architects platform engineering solutions, defines DevOps strategy, leads infrastructure automation initiatives",DevOps,16
Technology & Development,Cloud & Infrastructure,DevOps Specialist (Master),L5,"Provides DevOps leadership, defines platform architecture, drives DevOps transformation and best practices",,0
Technology & Development,Cloud & Infrastructure,Cloud Specialist (Mid),L3,"Implements and manages cloud infrastructure on AWS, Azure, or GCP platforms, ensures cloud operations",,0
Technology & Development,Cloud & Infrastructure,Cloud Specialist (Senior),L4,"Architects multi-cloud solutions, implements cloud migration strategies, optimizes cloud infrastructure",Infrastructure Analyst,1
Technology & Development,Cloud & Infrastructure,Cloud Architect (Master),L5,"Defines enterprise cloud strategy, architects hybrid and multi-cloud environments, establishes cloud governance",,0
Technology & Development,Cloud & Infrastructure,Platform Specialist (Senior),L4,"Develops internal platform services, improves developer experience, builds platform infrastructure",IT Leader,1
Technology & Development,Cloud & Infrastructure,Platform Specialist (Master),L5,"Defines platform strategy, architects internal developer platforms, drives platform engineering excellence",,0
Technology & Development,Cloud & Infrastructure,SRE Specialist (Senior),L4,"Ensures production reliability and performance, manages incident response, implements SRE practices",,0
Technology & Development,Cloud & Infrastructure,SRE Specialist (Master),L5,"Defines SRE program strategy, establishes reliability engineering practices, drives operational excellence",,0
Technology & Development,Cybersecurity,Information Security Specialist (Mid),L3,"Implements security policies and access controls, conducts security assessments, ensures compliance with security standards",Information Security Analyst,2
Technology & Development,Cybersecurity,Information Security Specialist (Senior),L4,"Defines security strategy and compliance programs, leads security initiatives, manages security operations",,0
Technology & Development,Cybersecurity,Security Architect (Master),L5,"Designs security architecture, implements enterprise security controls, defines security standards and frameworks",,0
Technology & Development,Cybersecurity,Security Architect (Expert),L6,"Provides CISO-level strategic security leadership, defines enterprise security posture and governance",,0
Technology & Development,Cybersecurity,Security Operations Analyst (Mid),L3,"Monitors security systems, responds to incidents, performs threat analysis, manages security operations",,0
Technology & Development,Cybersecurity,Security Operations Analyst (Senior),L4,"Leads SOC operations, implements threat intelligence programs, manages security incident response",,0
Technology & Development,Cybersecurity,Penetration Tester (Mid),L3,"Conducts vulnerability assessments and ethical hacking, identifies security weaknesses through penetration testing",,0
Technology & Development,Cybersecurity,Penetration Tester (Senior),L4,"Leads offensive security programs, conducts advanced penetration testing, manages red team operations",,0
Technology & Development,Frontend Development,Frontend Developer (Junior),L2,"Develops basic UI components using HTML/CSS/JS, learns frontend frameworks and responsive design",,0
Technology & Development,Frontend Development,Frontend Developer (Mid),L3,"Develops complex frontend applications using React/Angular/Vue, implements state management and component architecture",,0
Technology & Development,Frontend Development,Frontend Developer (Senior),L4,"Architects frontend solutions, establishes development standards, mentors frontend team, optimizes performance",,0
Technology & Development,Frontend Development,Frontend Developer (Master),L5,"Defines frontend platform strategy, drives frontend innovation, establishes frontend architecture standards",,0
Technology & Development,Full-Stack Development,Full-Stack Developer (Mid),L3,"Develops frontend and backend components, works across full technology stack from UI to database",,0
Technology & Development,Full-Stack Development,Full-Stack Developer (Senior),L4,"Architects full-stack solutions, provides technical leadership across stack, mentors development team",,0
Technology & Development,Full-Stack Development,Full-Stack Developer (Master),L5,"Defines full-stack platform strategy, drives architectural decisions, establishes development standards",,0
Technology & Development,Mobile Development,Mobile Developer (Junior),L2,"Develops basic mobile apps for iOS or Android, learns native or cross-platform mobile development",,0
Technology & Development,Mobile Development,Mobile Developer (Mid),L3,"Develops cross-platform mobile applications using React Native or Flutter, implements mobile features",,0
Technology & Development,Mobile Development,Mobile Developer (Senior),L4,"Architects mobile solutions, defines mobile platform strategy, mentors mobile development team",,0
Technology & Development,Mobile Development,Mobile Developer (Master),L5,"Defines mobile platform leadership, drives mobile innovation, establishes mobile development standards",,0
Technology & Development,Quality Assurance,QA Analyst (Junior),L2,"Performs manual testing, creates basic test cases, learns quality assurance fundamentals and tools","Quality Analyst, Tester",57
Technology & Development,Quality Assurance,QA Analyst (Mid),L3,"Implements test automation, develops test plans, executes comprehensive testing strategies","Associate Tester, Quality Analyst, Tester",308
Technology & Development,Quality Assurance,QA Analyst (Senior),L4,"Defines QA strategy and quality engineering practices, mentors QA team, drives quality excellence","Quality Analyst, Tester",285
Technology & Development,Quality Assurance,QA Analyst (Master),L5,"Provides quality program leadership, establishes testing frameworks, drives quality transformation","Quality Analyst, Quality Analyst Manager, Tester, Tester Master",29
Technology & Development,Quality Assurance,QA Manager (Master),L5,"Manages quality assurance team, oversees testing programs, develops QA capabilities and standards",Quality Analyst Manager,1
Technology & Development,Quality Assurance,Test Automation Specialist (Mid),L3,"Develops automated test frameworks and scripts, implements continuous testing practices",,0
Technology & Development,Quality Assurance,Test Automation Specialist (Senior),L4,"Architects test automation solutions, integrates testing with CI/CD, establishes automation standards",,0
Technology & Development,Quality Assurance,Test Automation Architect (Master),L5,"Defines enterprise test automation strategy, establishes testing frameworks, drives automation excellence",,0
Technology & Development,Software Architecture,Software Architect (Mid),L3,"Designs application architecture, defines technical solutions, establishes coding standards and patterns",Software Architect,4
Technology & Development,Software Architecture,Software Architect (Senior),L4,"Architects system-level solutions, establishes technical standards, provides strategic technical leadership","Data Architect, Software Architect, Systems Architect, Technical Leader",335
Technology & Development,Software Architecture,Systems Architect (Master),L5,"Designs enterprise architecture and integration patterns, defines end-to-end technical solutions","Software Architect, Systems Architect, Technical Leader",229
Technology & Development,Software Architecture,Principal Architect (Expert),L6,"Provides CTO-level technical direction, defines enterprise architecture strategy, drives technical innovation","Architecture Manager, Principal Data Architect, Senior Director of Technology, North America, Senior Director, Architecture, Senior Director, Technology, Systems Architect",106
Technology & Development,Software Development,Developer (Junior),L2,"Develops software components using various technologies, learns full-stack development fundamentals",Developer,450
Technology & Development,Software Development,Developer (Mid),L3,"Develops complex software features across frontend and backend, demonstrates advanced programming skills","Associate Developer, Developer",1305
Technology & Development,Software Development,Developer (Senior),L4,"Provides technical leadership, mentors development team, architects software solutions, drives quality","Associate Developer, DevOps Engineer, Developer, Lead Developer",1516
Technology & Development,Software Development,Developer (Master),L5,"Defines development standards and practices, provides strategic technical leadership, mentors senior developers","Developer, Developer Master, Information Security Expert",270
Technology & Development,Software Development,Developer (Expert),L6,"Principal developer providing strategic technical direction, driving innovation, establishing development excellence","Developer Master, Principal Software Developer",25
Technology & Development,Technical Support,Support Analyst (Junior),L2,"Provides L1/L2 technical support, resolves basic customer issues, maintains support documentation","IT Analyst, Information Security Analyst, Scrum Master, Support Analyst",36
Technology & Development,Technical Support,Support Analyst (Mid),L3,"Handles L3 technical support and complex troubleshooting, manages escalations, improves support processes","Squad Leader, Support Analyst",31
Technology & Development,Technical Support,Support Analyst (Senior),L4,"Leads technical support operations, manages escalations, ensures customer technical satisfaction",Support Analyst,14
Technology & Development,Technical Support,Support Manager (Master),L5,"Manages support team operations, defines support strategy, ensures service level excellence",,0
Immersive Experience,Gaming & Interactive Media,Immersive Experience Developer (Junior),L2,"Develops basic game and interactive media features, learns VR/AR development fundamentals",,0
Immersive Experience,Gaming & Interactive Media,Immersive Experience Developer (Mid),L3,"Develops VR/AR experiences and game mechanics, implements interactive content and features",,0
Immersive Experience,Gaming & Interactive Media,Immersive Experience Developer (Senior),L4,"Architects gaming platforms and immersive experiences, provides technical leadership for interactive media",,0
Immersive Experience,Gaming & Interactive Media,Immersive Experience Architect (Master),L5,"Defines immersive platform architecture and strategy, drives innovation in gaming and interactive technologies",,0
Immersive Experience,Gaming & Interactive Media,Immersive Experience Architect (Expert),L6,"Provides strategic innovation leadership for immersive technologies, defines next-generation experience platforms",,0
Product & Business,Sales & Business Development,Client Manager (Senior),L4,"Manages key client relationships and revenue targets, develops account strategies, ensures client satisfaction","Commercial Partner Coordinator, Senior Client Manager-Americas",3
Product & Business,Sales & Business Development,Client Director (Master),L5,"Manages regional client portfolio, provides sales leadership, drives revenue growth and client success","Client Director, EMEA",1
Product & Business,Sales & Business Development,Sales Director (Expert),L6,"Defines business unit sales strategy, manages P&L responsibility, drives enterprise-wide revenue growth",Senior Sales Director,1
Delivery & Operations,Finance & Operations,Fiscal Analyst (Mid),L3,"Performs financial analysis and reporting, supports budget processes, analyzes financial performance",Administrative Analyst,1
Delivery & Operations,Finance & Operations,Fiscal Analyst (Senior),L4,"Leads financial analysis initiatives, provides strategic insights, manages complex financial projects",Fiscal Analyst,1
Delivery & Operations,Finance & Operations,Process Analyst (Senior),L4,"Optimizes business processes, implements controllership practices, ensures compliance and operational efficiency","Controllership Analyst, Process Analyst",4
Delivery & Operations,Finance & Operations,Finance Manager (Master),L5,"Manages financial operations and accounting, leads finance team, ensures financial integrity and reporting",Accounting Manager,1
Delivery & Operations,Talent & HR,Talent Specialist (Mid),L3,"Manages recruitment and sourcing, ensures positive candidate experience, supports talent acquisition",Talent Attraction Specialist,1
Delivery & Operations,Talent & HR,Talent Specialist (Senior),L4,"Defines strategic recruitment approaches, implements employer branding, manages complex hiring initiatives",,0
Delivery & Operations,Talent & HR,Talent Manager (Master),L5,"Leads talent acquisition strategy, manages recruiting team, drives talent programs and workforce planning",,0
Digital Experience,Content Strategy,Content Manager (Mid),L3,"Manages content operations and editorial calendar, coordinates content production, ensures content quality","Content Manager, Content Specialist",5
Digital Experience,Content Strategy,Content Strategist (Senior),L4,"Defines content strategy and governance, plans cross-channel content programs, optimizes content performance","Content Specialist, Content Strategist",4
Digital Experience,Content Strategy,Content Strategy Director (Master),L5,"Provides enterprise content leadership, defines content strategy frameworks, drives content transformation","Content Strategy Manager, Senior Content Manager",2
Digital Experience,Content Strategy,Senior Content Strategy Director,L6,"Senior leadership role defining enterprise-wide content vision, strategy, and governance across organization",Senior Content Strategy Manager,1
Technology & Development,Salesforce Specialist,Salesforce Specialist (Mid),L3,"Develops Salesforce customizations and configurations, administers Salesforce platform, implements solutions",Salesforce Solutions Specialist,1
Technology & Development,Salesforce Specialist,Salesforce Specialist (Senior),L4,"Architects Salesforce solutions, implements integrations, establishes Salesforce best practices and governance",,0
Technology & Development,Salesforce Specialist,Salesforce Architect (Master),L5,"Defines enterprise Salesforce strategy, architects complex Salesforce ecosystems, provides platform leadership",,0
Intern Program,Intern Program,Developer Intern,INTERN,"Learns software development fundamentals, contributes to development projects under mentorship, prepares for full-time developer role",,0
Intern Program,Intern Program,Support Analyst Intern,INTERN,"Learns technical support fundamentals, assists with customer support activities, prepares for technical support career",,0
Intern Program,Intern Program,Technology Intern,INTERN,"Gains broad exposure to technology roles and practices, supports various technology initiatives, explores career paths","Developer, Support Analyst, Tech Intern, UI Designer",313
Intern Program,Intern Program,UI Designer Intern,INTERN,"Learns UI design fundamentals, assists with design projects under mentorship, prepares for design career",,0
